0.20581	-0.20210	-0.42081	-0.03433	-0.27184	-1.18637	-0.02446	-1.98572	-1.86963	-0.95387
0.21512	-0.20084	-0.42112	-0.03982	-0.26696	-1.21766	-0.05805	-2.00147	-1.90031	-0.96635
0.22408	-0.19926	-0.42059	-0.04560	-0.26143	-1.24712	-0.09152	-2.01386	-1.92816	-0.97744
0.23269	-0.19736	-0.41929	-0.05158	-0.25525	-1.27471	-0.12464	-2.02307	-1.95319	-0.98714
0.24094	-0.19516	-0.41730	-0.05770	-0.24848	-1.30039	-0.15716	-2.02932	-1.97537	-0.99546
0.24883	-0.19265	-0.41468	-0.06387	-0.24116	-1.32412	-0.18887	-2.03283	-1.99473	-1.00241
0.25637	-0.18982	-0.41152	-0.07002	-0.23334	-1.34589	-0.21956	-2.03384	-2.01129	-1.00801
0.26358	-0.18667	-0.40785	-0.07609	-0.22509	-1.36569	-0.24907	-2.03260	-2.02507	-1.01230
0.27048	-0.18317	-0.40374	-0.08203	-0.21648	-1.38354	-0.27720	-2.02936	-2.03615	-1.01530
0.27710	-0.17931	-0.39924	-0.08779	-0.20759	-1.39943	-0.30382	-2.02439	-2.04457	-1.01704
0.28345	-0.17506	-0.39440	-0.09332	-0.19849	-1.41338	-0.32878	-2.01793	-2.05041	-1.01756
0.28956	-0.17040	-0.38928	-0.09860	-0.18928	-1.42543	-0.35195	-2.01022	-2.05377	-1.01691
0.29543	-0.16531	-0.38392	-0.10361	-0.18003	-1.43561	-0.37322	-2.00150	-2.05475	-1.01513
0.30108	-0.15978	-0.37839	-0.10834	-0.17083	-1.44395	-0.39251	-1.99198	-2.05345	-1.01230
0.30650	-0.15381	-0.37275	-0.11279	-0.16175	-1.45051	-0.40973	-1.98186	-2.04999	-1.00849
0.31170	-0.14740	-0.36706	-0.11696	-0.15287	-1.45536	-0.42484	-1.97133	-2.04450	-1.00379
0.31664	-0.14058	-0.36138	-0.12087	-0.14429	-1.45856	-0.43782	-1.96055	-2.03709	-0.99831
0.32132	-0.13338	-0.35578	-0.12453	-0.13607	-1.46022	-0.44866	-1.94966	-2.02788	-0.99215
0.32569	-0.12584	-0.35031	-0.12795	-0.12830	-1.46042	-0.45737	-1.93880	-2.01703	-0.98543
0.32972	-0.11799	-0.34501	-0.13116	-0.12104	-1.45927	-0.46397	-1.92806	-2.00468	-0.97826
0.33337	-0.10990	-0.33994	-0.13416	-0.11435	-1.45689	-0.46850	-1.91755	-1.99097	-0.97076
0.33658	-0.10160	-0.33512	-0.13699	-0.10829	-1.45337	-0.47101	-1.90734	-1.97608	-0.96302
0.33933	-0.09317	-0.33059	-0.13964	-0.10290	-1.44884	-0.47159	-1.89751	-1.96016	-0.95513
0.34156	-0.08465	-0.32638	-0.14213	-0.09820	-1.44339	-0.47029	-1.88811	-1.94340	-0.94714
0.34327	-0.07610	-0.32251	-0.14445	-0.09421	-1.43713	-0.46723	-1.87919	-1.92595	-0.93912
0.34445	-0.06756	-0.31897	-0.14660	-0.09093	-1.43017	-0.46252	-1.87080	-1.90801	-0.93111
0.34510	-0.05908	-0.31580	-0.14858	-0.08834	-1.42259	-0.45626	-1.86295	-1.88974	-0.92314
